SimTime	Autoindex	Register	Registerwert
34	2	CANlaneid	0
34	3	CANvelocity	118.105
34	3	CANlaneid	0
34	4	CANvelocity	117.921
34	4	CANlaneid	0
34	5	CANvelocity	109.971
34	5	CANlaneid	0
34	6	CANvelocity	101.91
34	6	CANlaneid	0
34	7	CANvelocity	81.9886
34	7	CANlaneid	0
34	8	CANvelocity	70.811
34	8	CANlaneid	0
34	9	CANvelocity	62.651
34	9	CANlaneid	0
34	10	CANvelocity	43.3559
34	10	CANlaneid	0
34	11	CANvelocity	21.1752
34	11	CANlaneid	0
34	12	CANvelocity	3.20148
34	12	CANlaneid	0
35	0	CANvelocity	119.978
35	0	CANlaneid	0
35	1	CANvelocity	117.866
35	1	CANlaneid	0
35	2	CANvelocity	117.693
35	2	CANlaneid	0
35	3	CANvelocity	119.053
35	3	CANlaneid	0
35	4	CANvelocity	119.501
35	4	CANlaneid	0
35	5	CANvelocity	114.406
35	5	CANlaneid	0
35	6	CANvelocity	104.913
35	6	CANlaneid	0
35	7	CANvelocity	86.3822
35	7	CANlaneid	0
35	8	CANvelocity	77.1428
35	8	CANlaneid	0
35	9	CANvelocity	67.4593
35	9	CANlaneid	0
35	10	CANvelocity	48.4222
35	10	CANlaneid	0
35	11	CANvelocity	28.785
35	11	CANlaneid	0
35	12	CANvelocity	10.7572
35	12	CANlaneid	0
36	0	CANvelocity	119.771
36	0	CANlaneid	0
36	1	CANvelocity	118.84
36	1	CANlaneid	0
36	2	CANvelocity	119.876
36	2	CANlaneid	0
36	3	CANvelocity	118.133
36	3	CANlaneid	0
36	4	CANvelocity	119.406
36	4	CANlaneid	0
36	5	CANvelocity	118.879
36	5	CANlaneid	0
36	6	CANvelocity	109.408
36	6	CANlaneid	0
36	7	CANvelocity	90.0556
36	7	CANlaneid	0
36	8	CANvelocity	81.4986
36	8	CANlaneid	0
36	9	CANvelocity	73.3036
36	9	CANlaneid	0
36	10	CANvelocity	55.6157
36	10	CANlaneid	0
36	11	CANvelocity	36.9924
36	11	CANlaneid	0
36	12	CANvelocity	15.6039
36	12	CANlaneid	0
37	0	CANvelocity	119.455
37	0	CANlaneid	0
37	1	CANvelocity	119.285
37	1	CANlaneid	0
37	2	CANvelocity	118.781
37	2	CANlaneid	0
37	3	CANvelocity	119.179
37	3	CANlaneid	0
37	4	CANvelocity	119.468
37	4	CANlaneid	0
37	5	CANvelocity	119.391
37	5	CANlaneid	0
37	6	CANvelocity	114.171
37	6	CANlaneid	0
37	7	CANvelocity	94.6629
37	7	CANlaneid	0
37	8	CANvelocity	86.9092
37	8	CANlaneid	0
37	9	CANvelocity	78.7464
37	9	CANlaneid	0
37	10	CANvelocity	59.7405
37	10	CANlaneid	0
37	11	CANvelocity	42.1064
37	11	CANlaneid	0
37	12	CANvelocity	21.1936
37	12	CANlaneid	0
37	13	CANvelocity	1.44565
37	13	CANlaneid	0
38	0	CANvelocity	118.217
38	0	CANlaneid	0
38	1	CANvelocity	118.65
38	1	CANlaneid	0
38	2	CANvelocity	119.955
38	2	CANlaneid	0
38	3	CANvelocity	119.372
38	3	CANlaneid	0
38	4	CANvelocity	119.271
38	4	CANlaneid	0
38	5	CANvelocity	117.598
38	5	CANlaneid	0
38	6	CANvelocity	117.086
38	6	CANlaneid	0
38	7	CANvelocity	100.231
38	7	CANlaneid	0
38	8	CANvelocity	91.7807
38	8	CANlaneid	0
38	9	CANvelocity	83.312
38	9	CANlaneid	0
38	10	CANvelocity	63.8003
38	10	CANlaneid	0
38	11	CANvelocity	46.9991
38	11	CANlaneid	0
38	12	CANvelocity	29.639
38	12	CANlaneid	0
38	13	CANvelocity	7.08481
38	13	CANlaneid	0
39	0	CANvelocity	117.987
39	0	CANlaneid	0
39	1	CANvelocity	117.643
39	1	CANlaneid	0
39	2	CANvelocity	118.009
39	2	CANlaneid	0
39	3	CANvelocity	119.079
39	3	CANlaneid	0
39	4	CANvelocity	119.103
39	4	CANlaneid	0
39	5	CANvelocity	117.954
39	5	CANlaneid	0
39	6	CANvelocity	119.89
39	6	CANlaneid	0
39	7	CANvelocity	103.173
39	7	CANlaneid	0
39	8	CANvelocity	97.2582
39	8	CANlaneid	0
39	9	CANvelocity	87.7092
39	9	CANlaneid	0
